"""G_Name""","""hex1""","""hex2""","""hex3"""
"""LIFE""","""#52ff75""","""#3ce312""",""
"""PINK""","""#f787ff""","""#f45cff""",""
"""TEAL""","""#52ffd7""","""#10e3ca""",""
"""YELLOW""","""#ffff52""","""#e3cb14""",""
"""NEON""","""#ad0e8d""","""#7d00d1""",""
"""GOLD""","""#ada310""","""#d1b200""",""
"""DEEP SEA""","""#114fad""","""#0073d1""",""
"""CRANBERRY""","""#ad1313""","""#d10000""",""
"""PINK SUNSET""","""#d96c75""","""#572b61""",""
"""COAL""","""#404040""","""#212121""",""
"""BERRY""","""#f27474""","""#dc3545""",""
"""BUCKLER""","""#064543""","""#097355""",""
"""LOVE""","""#c9457a""","""#ad2d7e""",""
"""APPLE""","""#c94545""","""#ad2f2f""",""
"""BREAD""","""#e3dcb6""","""#ded397""",""
"""SKY""","""#1e8cd6""","""#39bbdb""",""
"""CLOUDY""","""#c7e9ff""","""#b3c7cc""",""
"""SEAWEED""","""#18a848""","""#169960""",""
"""GRAPPE""","""#a81845""","""#851699""",""
"""WARM""","""#d41e67""","""#bd3b1b""",""
"""FIRE""","""#d4671e""","""#bd5c1b""",""
"""SUNSHINE""","""#d4ce1e""","""#bda51b""",""
"""CACAO""","""#61470e""","""#291903""",""
"""PINK""","""#e335c0""","""#b00c4e""",""
"""FLAME""","""#e36f35""","""#b0980e""",""
"""PLANT""","""#39e369""","""#11b03e""",""
"""MANGO""","""#f7b56b""","""#f27f59""",""
"""BERRY""","""#9f6cf7""","""#411452""",""
"""RASBERRY""","""#fbaeb8""","""#cb0a33""",""
"""BUTTER""","""#ffc3ad""","""#ffafbd""",""
"""BLUEBERRY""","""#058fff""","""#021879""",""
"""TACO""","""#ebc488""","""#deae69""",""
"""ROYAL""","""#1446a8""","""#002366""",""
"""CRIMSON""","""#dc143c""","""#a80f2e""",""
"""GREY""","""#808080""","""#636161""",""
"""CORAL""","""#ff7f50""","""#e6602b""",""
"""TURQUOISE""","""#40e0d0""","""#1bbfaf""",""
"""BURGUNDY""","""#900020""","""#70021a""",""
