"""P_Name""", """hex1""", """hex2""", """hex3""", """hex4""", """hex5"""
"""GREEN DRAGON""","""#AFCC9A""","""#215402""","""#08060B""","""#85A572""","""#4D4A59"""
"""KIRIN""","""#DBC975""","""#9FA67A""","""#212F0C""","""#B35941""","""#746852"""
"""KRAKEN""","""#C83737""","""#782121""","""#E9AFAF""","""#000000""","""#A02C2C"""
"""DRAGON""","""#E85764""","""#F4BDB8""","""#7C6C52""","""#F8F9FB""","""#F43F24"""
"""X""","""#3D4949""","""#75D3EC""","""#275287""","""#E6E6E6""","""#36AEE0"""
"""FEZ""","""#3EE9FD""","""#7FDD3F""","""#845FC6""","""#D88245""","""#8A5536"""
"""LEMONFUZE""","""#084F2F""","""#A85022""","""#EFBB4E""","""#6CC0D8""","""#3C0F09"""
"""DEPOSIT""","""#032528""","""#556246""","""#B91C1B""","""#CE4037""","""#E7CA8B"""
"""RETROSPECTIVE""","""#C60102""","""#EF4706""","""#FFA10E""","""#05697A""","""#01AAAD"""
"""MONADE""","""#7C5E34""","""#ED7222""","""#E5A71F""","""#FDBD15""","""#82A680"""
"""RETROSPHERE""","""#190028""","""#4A003C""","""#EB005E""","""#FF6FDD""","""#FDCEFD"""
"""DESERT""","""#6E474B""","""#A75A30""","""#CD6C3E""","""#DB7D4A""","""#E98A58"""
"""KKRT""","""#080808""","""#313131""","""#F5C7A5""","""#1A3C6B""","""#DA552F"""
"""FRZ""","""#9A67BD""","""#633183""","""#8FA79B""","""#EFF8F3""","""#39313D"""
"""BRL""","""#2C2A2D""","""#FAF2EF""","""#3C474D""","""#373342""","""#3FAB55"""
"""VGT""","""#D83560""","""#FAD7B6""","""#E1C25F""","""#133545""","""#DBDCE0"""
"""ICE""","""#2B4873""","""#789AC1""","""#96B7DB""","""#BCDEF0""","""#F3F4F5"""
"""LAVA""","""#720000""","""#CA2118""","""#F05214""","""#F69A03""","""#F7FF07"""
"""POOL""","""#01248E""","""#026ABF""","""#029CD7""","""#04C6DA""","""#6EE4F6"""
"""KIRA""","""#9F6E50""","""#281914""","""#EED0B6""","""#DDDED9""","""#782515"""
"""LAWLIET""","""#0A0C0B""","""#4F514E""","""#E9E3D7""","""#EAF4F3""","""#46707C"""
"""PAIN""","""#DA6A20""","""#3D3544""","""#DABEB0""","""#AFA0C1""","""#8A303A"""
"""GIRAFFE""","""#EAD084""","""#A5632B""","""#78441E""","""#F2EACC""","""#372C21"""
"""FOX""","""#6F2005""","""#C25A17""","""#FAF0E5""","""#B5A29E""","""#44260F"""
"""ZEBRA""","""#000000""","""#FFFFFF""","""#000000""","""#FFFFFF""","""#000000"""
"""TIGER""","""#0C0605""","""#9C4E0F""","""#CE842F""","""#E0C6AA""","""#F4F1EE"""
"""JUNGLE""","""#83A738""","""#CEE54D""","""#83BF36""","""#37741B""","""#452D0D"""
